word,article,plural,translation,example sentence normal,example sentence plural
Plural,der,-e,plural,Die Pluralform ist wichtig.,Die Plurale dieser Wörter sind regelmäßig.
Pluralendung,die,-en,plural ending,Die Pluralendung ist bei diesem Wort „-en“. (The plural ending for this word is “-en”.),Viele deutsche Wörter haben regelmäßige Pluralendungen.
Pluralform,die,-en,plural form,Die Pluralform von „Auto“ ist „Autos“. (The plural form of “car” is “cars”.),Manche Pluralformen klingen ganz anders als die Einzahl.
plus,-,-,plus,Wir rechnen 5 plus 3., 
Polen,-,-,Poland,Polen liegt in Mitteleuropa., 
Politik,die,(Sg.),politics,Politik beeinflusst unser Leben., 
Polizist,der,-en,policeman,Der Polizist hilft dem Kind, die Straße zu überqueren.,Alle Polizisten sind gut ausgebildet.
Polizistin,die,-nen,policewoman,Die Polizistin fragt nach meinem Ausweis.,Viele Polizistinnen arbeiten auch in der Kriminalpolizei.
Polnisch,-,-,Polish,Ich lerne Polnisch., 
Pommes,die,(Pl.),French fries,Ich esse gern Pommes., 
Pommes frites,die,(Pl.),French fries,Pommes frites sind ein Klassiker., 
populär,-,-,popular,Sein Buch ist sehr populär., 
Portugal,-,-,Portugal,Portugal ist bekannt für Wein., 
Portugiesisch,-,-,Portuguese,Ich spreche etwas Portugiesisch., 
Position,die,-en,position,Die Position auf der Karte ist nicht korrekt.,Wir haben alle Positionen aufgelistet.
positiv,-,-,positive,Das Feedback war positiv., 
pro,-,-,per,Der Preis ist 10 Euro pro Person., 
probieren,-,-,to try,Ich möchte das neue Gericht probieren., 
Problem,das,-e,problem,Das Problem ist schnell gelöst.,Die Probleme werden systematisch angegangen.
Produkt,das,-e,product,Das Produkt ist von hoher Qualität.,Die Produkte im Sortiment sind vielfältig.
Produktion,die,-en,production,Die Produktion des Films beginnt im Sommer.,Die Produktionen des Studios sind weltweit bekannt.
Professor,der,-en,professor,Der Professor erklärt den Stoff sehr gut.,Die Professoren sind sehr kompetent.
Professorin,die,-nen,female professor,Die Professorin forscht im Bereich Biologie.,Alle Professorinnen nehmen an der Konferenz teil.
Profil,das,-e,profile,Ich habe mein Profil aktualisiert.,Die Profile aller Nutzer sind vollständig.
Programm,das,-e,program,Das Programm beginnt um 20 Uhr.,Viele Programme im Fernsehen sind unterhaltsam.
Projekt,das,-e,project,Das Projekt ist fast abgeschlossen.,Unsere Firma betreut mehrere Projekte gleichzeitig.
Pronomen,das,-,pronoun,Ein Pronomen ersetzt ein Nomen., 
prost,-,-,cheers,Wir stoßen mit einem Glas Sekt an und rufen „prost!“, 
Prüfung,die,-en,exam,Ich lerne für die Prüfung.,Die Prüfungen im Kurs sind anspruchsvoll.
Publikum,das,(Sg.),audience,Das Publikum klatscht laut. (The audience claps loudly.),
Pulli,der,-s,sweater,Ich trage meinen Pulli heute, ,  
Pullover,der,-,sweater,Der Pullover hält mich im Winter warm.,Ich mag Pullover aus Wolle.  
Punkt (1),der,-e,point (at the end of the sentence),Der Satz endet mit einem Punkt.,  
Punkt (2),der,-e,"point (score, what is important)",Der Punkt in der Diskussion war klar.,  
pünktlich,-,-,punctual,Er kommt immer pünktlich zur Arbeit.,  
Pünktlichkeit,die,(Sg.),punctuality,Pünktlichkeit ist im Berufsleben sehr wichtig.,  
qm,-,-,square meter,Die Wohnung hat 50 qm.,  
Quatsch,der,(Sg.),nonsense,Hör auf mit dem Quatsch!,  
Radiosendung,die,-en,radio show,Die Radiosendung beginnt um 17 Uhr.,Viele Radiosendungen sind informativ.  
Ratebild,das,-er,rating image,Das Ratebild zeigt ein Tier im Schatten.,Die Ratebilder machen den Kindern Spaß.  
raten,-,-,to guess,Kannst du das Wort raten?,  
Rathaus,das,-er,town hall,Das Rathaus ist direkt am Marktplatz.,Viele deutsche Rathäuser sind sehr alt.  
Rätoromanisch,-,-,Romansh language,Er lernt Rätoromanisch.,  
rauchen,-,-,to smoke,Er hört auf zu rauchen.,  
Raum,der,-e,room,Der Raum ist hell und groß.,In den neuen Räumen ist viel Platz.  
rausgehen,-,-,to go out,Wir gehen heute Abend raus.,  
reagieren,-,-,to react,Bitte reagier schnell auf die E-Mail.,  
Reaktion,die,-en,reaction,Seine Reaktion war unerwartet.,Die Reaktionen der Zuschauer waren positiv.  
recherchieren,-,-,to research,Ich muss für die Arbeit recherchieren.,  
Rechnung,die,-en,bill,Die Rechnung kommt am Monatsende.,Die Rechnungen müssen bezahlt werden.  
rechts,-,-,right,Halte dich immer rechts beim Gehen.,  
Redemittel,das,-,phrases,Dieses Buch enthält viele nützliche Redemittel.,  
reden,-,-,to speak,Wir müssen über das Problem reden.,  
Regal,das,-e,shelf,Das Regal steht an der Wand.,Die Regale im Supermarkt sind gut gefüllt.  
Possessivartikel,der,-,possessive article,Der Possessivartikel zeigt Besitz an.,  
Post,die,(Sg.),mail,Die Post kommt jeden Morgen.,  
Postkarte,die,-n,postcard,Ich schicke dir eine Postkarte.,  
Postleitzahl,die,-en,postal code,Meine Postleitzahl ist 10115.,  
Präfix,das,-e,prefix,"Das Präfix ""un-"" bedeutet das Gegenteil.",Viele deutsche Wörter haben ein Präfix.  
Praktikum,das,Praktika,internship,Ich mache im Sommer ein Praktikum.,  
praktisch,-,-,practical,Das Werkzeug ist sehr praktisch.,  
Präposition,die,-en,preposition,Die Präposition steht vor dem Objekt.,  
Präsentation,die,-en,presentation,Die Präsentation war sehr informativ.,"In der Schule halten die Schüler viele Präsentationen."  
präsentieren,-,-,to present,Er präsentiert das neue Konzept.,  
Präteritum,das,Präterita,past tense,Das Präteritum wird oft in Geschichten verwendet.,Viele Verben haben im Präteritum unregelmäßige Formen.  
Praxis,die,Praxen,practice,Die Praxis ist nur vormittags geöffnet.,Viele Arztpraxen haben auch eine Website.  
Preis,der,-e,price,Der Preis für das Buch ist zehn Euro.,Die Preise sind in letzter Zeit gestiegen.  
Prüfung,die,-en,exam,Die Prüfung findet nächste Woche statt.,Die Prüfungen sind sehr anspruchsvoll.
Prüfungsangst,die,-,exam anxiety,Die Prüfungsangst ist für viele Schüler ein Problem.,
Prüfungsordnung,die,-en,exam regulations,Die Prüfungsordnung ist sehr wichtig.,Die Prüfungsordnungen sind in jedem Fach unterschiedlich.
Prüfungszeit,die,-en,exam period,Die Prüfungszeit ist stressig.,Die Prüfungszeiten sind in jedem Semester gleich.
Prüfungszentrum,das,-zentren,exam center,Das Prüfungszentrum ist in der Stadtmitte.,Die Prüfungszentren sind gut erreichbar.
Prüfungszeugnis,das,-se,exam certificate,Das Prüfungszeugnis ist wichtig für die Bewerbung.,Die Prüfungszeugnisse werden am Ende des Semesters ausgestellt.
Prüfungszeitraum,der,-räume,exam period,Der Prüfungszeitraum ist im Sommer.,Die Prüfungszeiträume sind in jedem Semester unterschiedlich.
Prüfungsunterlagen,die,-,exam documents,Die Prüfungsunterlagen sind vertraulich.,Die Prüfungsunterlagen müssen rechtzeitig eingereicht werden.
Prüfungszeitpunkt,der,-e,exam date,Der Prüfungszeitpunkt ist festgelegt.,Die Prüfungszeitpunkte sind in jedem Semester unterschiedlich.
Prüfungszeitraum,der,-räume,exam period,Der Prüfungszeitraum ist im Sommer.,Die Prüfungszeiträume sind in jedem Semester unterschiedlich.
Prüfungsordnung,die,-en,exam regulations,Die Prüfungsordnung ist sehr wichtig.,Die Prüfungsordnungen sind in jedem Fach unterschiedlich.
Prüfungsangst,die,-,exam anxiety,Die Prüfungsangst ist für viele Schüler ein Problem.,
Prüfungsstress,der,-e,exam stress,Der Prüfungsstress ist für viele Studenten belastend.,Die Prüfungsstress-Symptome sind unterschiedlich.
Prüfungszeit,die,-en,exam period,Die Prüfungszeit ist stressig.,Die Prüfungszeiten sind in jedem Semester gleich.
Prüfungszentrum,das,-zentren,exam center,Das Prüfungszentrum ist in der Stadtmitte.,Die Prüfungszentren sind gut erreichbar.
Prüfungszeugnis,das,-se,exam certificate,Das Prüfungszeugnis ist wichtig für die Bewerbung.,Die Prüfungszeugnisse werden am Ende des Semesters ausgestellt.
Prüfungszeitpunkt,der,-e,exam date,Der Prüfungszeitpunkt ist festgelegt.,Die Prüfungszeitpunkte sind in jedem Semester unterschiedlich.
Prüfungsunterlagen,die,-,exam documents,Die Prüfungsunterlagen sind vertraulich.,Die Prüfungsunterlagen müssen rechtzeitig eingereicht werden.
Rathaus,der,-e,town hall,Das Rathaus ist ein historisches Gebäude.,Die Rathäuser in Deutschland sind oft sehr schön.
Regel,die,-n,rule,"Die Regel sagt, dass man hier nicht parken darf.","Die Regeln sind für alle gleich."  
regelmäßig,-,-,regularly,Wir treffen uns regelmäßig zum Training.,  
Regen,der,-,rain,Der Regen fällt leise aufs Dach.,  
Regenjacke,die,-n,rain jacket,Ich packe meine Regenjacke ein.,  
Regenschirm,der,-e,umbrella,Der Regenschirm schützt vor Nässe.,  
Regisseur,der,-e,director,Der Regisseur arbeitet an einem neuen Film.,Viele Regisseure arbeiten auch fürs Theater.  
Regisseurin,die,-nen,female director,Die Regisseurin ist sehr talentiert.,Die Regisseurinnen bekommen viel Anerkennung.  
regnen,-,-,to rain,Es beginnt gerade zu regnen.,  
Reihenfolge,die,-n,sequence,Die Reihenfolge der Aufgaben ist wichtig.,Wir haben die Reihenfolgen geändert.  
Reihenhaus,das,-er,terraced house,Das Reihenhaus hat einen kleinen Garten.,Die Reihenhäuser sehen alle gleich aus.  
Reis,der,(Sg.),rice,Ich koche Reis zum Abendessen.,  
Reise,die,-n,trip,Die Reise nach Italien war wunderschön.,Viele Reisen werden online gebucht.  
Reisebericht,der,-e,travel report,Der Reisebericht war spannend und informativ.,  
Reiseführer (1),der,-,tour guide,Der Reiseführer erklärt die Geschichte der Stadt.,  
Reiseführer (2),der,-,travel guide,Der Reiseführer empfiehlt Sehenswürdigkeiten.,  
Reiseführerin,die,-nen,female tour guide,Die Reiseführerin spricht mehrere Sprachen.,Die Reiseführerinnen begleiten viele Touristen.  
reisen,-,-,to travel,Wir reisen nächsten Monat nach Spanien.,  
Reisetasche,die,-n,travel bag,Meine Reisetasche ist sehr leicht.,  
Reiseziel,das,-e,travel destination,Unser Reiseziel ist Bali.,  
Religion,die,-en,religion,Die Religion spielt in seinem Leben eine große Rolle.,"In der Schule lernen die Kinder verschiedene Religionen kennen."  
renoviert,-,-,renovated,Das Haus wurde letztes Jahr renoviert.,  
Requiem,das,-s,requiem,Wir hören heute ein Requiem.,  
reservieren,-,-,to reserve,Ich möchte einen Tisch reservieren.,  
Restaurant,das,-s,restaurant,Das Restaurant bietet argentinisches Fleisch an.,Das Restaurant liegt außerhalb der Stadt.  
Rezept,das,-e,recipe,Ich probiere heute ein neues Rezept.,  
Rezeption,die,-en,reception,Die Rezeption ist 24 Stunden besetzt.,  
richtig (1),-,-,correct (1),Deine Antwort ist richtig.,  
richtig (2),-,-,really (2),Das ist richtig beeindruckend.,  
riechen,-,-,to smell,Die Blumen riechen wunderbar.,  
Rock,der,-e,skirt,Der Rock ist aus Baumwolle.,Die Röcke hängen an der Stange.  
Rolle,die,-n,role,Er spielt die Hauptrolle im Stück.,  
Rollenkarte,die,-n,role card,Die Rollenkarte hilft beim Theaterstück.,  
rot,-,-,red,Die Blume ist rot.,  
Route,die,-n,route,Die Route führt durch die Berge.,Die Routen sind auf der Karte eingezeichnet.  
Rücken,der,-,back,Mein Rücken tut nach dem Training weh.,  
Rückenschmerzen,die,-,back pain,Ich habe seit gestern Rückenschmerzen.,  
ruhig,-,-,quiet,Der Raum ist ruhig.,  
rund,-,-,around,Wir laufen rund um den See.,  
rund um,-,-,around (in terms of),Hier gibt es alles rund um das Thema Musik.,  
Russisch,-,-,Russian,Ich lerne Russisch.,  
Russland,-,-,Russia,Russland ist flächenmäßig das größte Land.,  
Sache,die,-n,thing,Das ist eine gute Sache.,  
Saft (1),der,-e,juice (1),Ich trinke gern Orangensaft.,  
Saft (2),der,-e,juice (2),Der Gemüsesaft schmeckt frisch.,  
sagen,-,-,to say,Er kann es nicht in Worte sagen.,  
Sahne,die,-,cream,Die Sahne gehört in die Suppe.,  
Saison,die,-en/-s,season,Die Saison für Erdbeeren beginnt im Mai.,  
Saison-Job,der,-s,seasonal job,Im Sommer suche ich einen Saison-Job.,  
Salami,die,-s,salami,Auf der Pizza liegt Salami.,  
Salat,der,-e,salad,Zum Mittagessen gibt es Salat.,  
Salbe,die,-n,ointment,Die Salbe hilft bei Hautirritationen.,  
Salz,das,-e,salt,Bitte gib noch etwas Salz dazu.,  
sammeln,-,-,to collect,Er sammelt alte Münzen.,  
Samstag,der,-e,Saturday,Am Samstag besuche ich Freunde.,  
Samstagabend,der,-e,Saturday evening,Am Samstagabend gehe ich ins Kino.,  
samstags,-,-,on Saturdays,Samstags besuche ich meine Großeltern.,  
Sandwich,der/das,-s,sandwich,Ich esse ein Sandwich zum Frühstück.,  
satt,-,-,full,Nach dem Essen bin ich satt.,  
Satz,der,-e,sentence,Der Satz endet mit einem Punkt.,Setze bitte die Punkte am Ende der Sätze.  
Satzende,das,-n,sentence end,Am Satzende steht ein Komma oder Punkt.,  
Satzklammer,die,-n,sentence bracket,Die Satzklammer umschließt das Verb.,  
Satzmelodie,die,-n,sentence melody,Die Satzmelodie verändert sich bei Fragen.,Verschiedene Satzmelodien zeigen Emotionen.  
sauber,-,-,clean,Das Zimmer ist jetzt sauber.,  
sauber machen,-,-,to clean,Ich muss heute das Auto sauber machen.,  
Saxofon,das,-e,saxophone,Er spielt Saxofon im Orchester.,  
schälen,-,-,to peel,Bitte schäl die Kartoffeln.,  
schauen,-,-,to look,Schau mal, wer da ist.,  
Schauspieler,der,-,actor,Der Schauspieler ist sehr bekannt.,Die Schauspieler im Theater sind talentiert.  
Schauspielerin,die,-nen,actress,Die Schauspielerin gewann einen Preis.,Die Schauspielerinnen tragen schöne Kostüme.  
scheinen,-,-,to seem,Er scheint sehr freundlich zu sein.,  
schenken,-,-,to give,Sie schenkt mir ein Buch.,  
schicken,-,-,to send,Ich schicke dir die Fotos.,  
Schiff,das,-e,ship,Das Schiff fährt nach Norwegen.,Die Schiffe sind im Hafen.  
Schild,das,-er,shield,Das Schild zeigt den Weg.,Die Schilder sind leicht zu lesen.  
Schinken,der,-,ham,Auf dem Brot liegt Schinken.,  
schlafen,-,-,to sleep,Ich möchte jetzt schlafen.,  
Schlafsack,der,-e,sleeping bag,Ich brauche einen Schlafsack für das Zelt.,  
Schlaftablette,die,-n,sleeping pill,Die Schlaftablette wirkt schnell.,  
Schlafzimmer,das,-,bedroom,Das Schlafzimmer ist gemütlich eingerichtet.,  
schlecht,-,-,bad,Das Wetter ist heute schlecht.,  
schließen (1),-,-,to close (1),Schließ bitte die Tür.,  
schließen (2),-,-,to close (2),Die Geschäfte schließen um 20 Uhr.,  
Schluss,der,-e,end,Am Schluss bedankt sich der Autor.,  
Schlüssel,der,-,key,Ich habe meinen Schlüssel verloren.,  
schmecken,-,-,to taste,Das Essen schmeckt köstlich.,  
Schmerz,der,-en,pain,Der Schmerz ist kaum auszuhalten.,Die Schmerzen wurden nach der Behandlung besser.  
Schmuck,der,-,jewelry,Sie trägt viel Schmuck.,  
Schnee,der,-,snow,Der erste Schnee fällt im Dezember.,  
schneiden,-,-,to cut,Er schneidet das Gemüse.,  
schneien,-,-,to snow,Es beginnt zu schneien.,  
schnell,-,-,fast,Er läuft sehr schnell.,  
Schnitzel,das,-,schnitzel,Zum Mittagessen gibt es Schnitzel.,  
Schnupfen,der,-,cold (illness),Ich habe einen Schnupfen.,  
Schokolade,die,-n,chocolate,Ich liebe dunkle Schokolade.,  
schon,-,-,already,Ich bin schon fertig.,  
schön,-,-,beautiful,Der Garten ist schön.,  
schon wieder,-,-,again,Schon wieder hat es geregnet.,  
Schrank,der,-e,cupboard,Der Schrank steht neben dem Bett.,Die Schränke sind voll mit Kleidung.  
schrecklich,-,-,terrible,Der Film war schrecklich.,  
schreiben,-,-,to write,Ich schreibe einen Brief.,  
Schreibtisch,der,-e,desk,Der Schreibtisch steht am Fenster.,Die Schreibtische sind neu.  
Schreibwaren,die,-,stationery,Im Laden gibt es viele Schreibwaren.,  
Schuh,der,-e,shoe,Der Schuh passt perfekt.,Die Schuhe stehen im Flur.  
Schuhfan,der,-s,shoe fan,Er ist ein richtiger Schuhfan.,  
Schuhladen,der,-,shoe store,Der Schuhladen hat heute geschlossen.,In den Schuhläden gibt es große Rabatte.  
Schule,die,-n,school,Die Schule beginnt um acht Uhr.,Die Schulen bleiben heute geschlossen.  
schütten,-,-,to pour,Er schüttet Milch in die Tasse.,  
schwarz,-,-,black,Der Hut ist schwarz.  
Schweiz,die,-,Switzerland,Die Schweiz ist ein kleines Land in Europa. (Switzerland is a small country in Europe.),
